id,card_name,foundry,process_size,transistors,die_size,architecture,slot_width,tdp,base_clock,mem_clock,directX_ver,opengl_ver,opencl_ver,vulkan_ver,cuda_ver,shader_model_ver,mem_size,mem_type,mem_bus,bandwidth,pixel_rate,texture_rate,FP16_rate,FP32_rate,FP64_rate,shading_units,production_status,release_date
2118,NVIDIA NVS 5200M,TSMC,40 nm,585 million,116 mm²,Fermi,MXM Module,25 W,,"785 MHz
										
					3.1 Gbps effective",12 (11_0),4.6,1.1,N/A,2.1,5.1,1024 MB,GDDR5,64 bit,25.12 GB/s,2.688 GPixel/s,10.75 GTexel/s,,258.0 GFLOPS,21.50 GFLOPS (1:12),96,End-of-life,"Sep 17th, 2012"
2119,NVIDIA RTX 4000 Mobile Ada Generation,TSMC,5 nm,"35,800 million",295 mm²,Ada Lovelace,IGP,110 W,1290 MHz,"2250 MHz
										
					18 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,8.9,6.7,12 GB,GDDR6,192 bit,432.0 GB/s,133.2 GPixel/s,386.3 GTexel/s,24.72 TFLOPS (1:1),24.72 TFLOPS,386.3 GFLOPS (1:64),7424,Unreleased,Unknown
2120,NVIDIA NV41,TSMC,130 nm,222 million,225 mm²,Curie,,,,,9.0c (9_3),"2.0 (full)
					2.1 (partial)",N/A,N/A,,3.0,,,,,,,,,,,,"Apr 19th, 2004"
2121,AMD Radeon R5 M315,TSMC,28 nm,"1,550 million",125 mm²,GCN 3.0,,unknown,,"900 MHz
										
					1800 Mbps effective",12 (12_0),4.6,2.1,1.2.170,,6.5,2 GB,DDR3,64 bit,14.40 GB/s,7.760 GPixel/s,23.28 GTexel/s,745.0 GFLOPS (1:1),745.0 GFLOPS,46.56 GFLOPS (1:16),384,End-of-life,"May 5th, 2015"
2122,ATI Mobility FireGL V3200,TSMC,130 nm,75 million,92 mm²,R300,,unknown,,"250 MHz
										
					500 Mbps effective",9.0b,2.0,N/A,N/A,,,128 MB,DDR2,128 bit,8.000 GB/s,1.600 GPixel/s,1.600 GTexel/s,,,,,End-of-life,"Jun 1st, 2004"
2123,ATI Mobility Radeon HD 4670,TSMC,55 nm,514 million,146 mm²,TeraScale,MXM Module,35 W,,"800 MHz
										
					1600 Mbps effective",10.1 (10_1),3.3,1.1,N/A,,4.1,512 MB,GDDR3,128 bit,25.60 GB/s,5.400 GPixel/s,21.60 GTexel/s,,432.0 GFLOPS,,320,End-of-life,"Jan 9th, 2009"
2124,Intel i815 Graphics,Intel,150 nm,unknown,unknown,Generation 1.0,IGP,unknown,,System Shared,7.0,1.2,N/A,N/A,,,System Shared,System Shared,System Shared,System Dependent,133.0 MPixel/s,133.0 MTexel/s,,,,,End-of-life,2000
2125,NVIDIA GeForce RTX 4060 Max-Q,TSMC,5 nm,unknown,146 mm²,Ada Lovelace,IGP,35 W,1140 MHz,"1750 MHz
										
					14 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,8.9,6.7,8 GB,GDDR6,128 bit,224.0 GB/s,47.04 GPixel/s,141.1 GTexel/s,9.032 TFLOPS (1:1),9.032 TFLOPS,141.1 GFLOPS (1:64),3072,Active,"Jan 3rd, 2023"
2126,Intel Comet Lake GT2,Intel,14 nm+++,unknown,unknown,Generation 9.5,,,,,12 (12_1),4.6,3.0,1.3,,6.5,,,,,,,,,,192,,"Aug 21st, 2019"
2127,AMD Radeon Pro 560X,GlobalFoundries,14 nm,"3,000 million",123 mm²,GCN 4.0,IGP,75 W,,"1470 MHz
										
					5.9 Gbps effective",12 (12_0),4.6,2.1,1.3,,6.7,4 GB,GDDR5,128 bit,94.08 GB/s,16.06 GPixel/s,64.26 GTexel/s,2.056 TFLOPS (1:1),2.056 TFLOPS,128.5 GFLOPS (1:16),1024,Active,"Jul 16th, 2018"
2128,Intel Brookdale,Intel,150 nm,unknown,unknown,Generation 2.0,,,,,7.0,1.3,N/A,N/A,,,,,,,,,,,,,,2002
2129,ATI Radeon HD 4250 IGP,,55 nm,181 million,67 mm²,TeraScale,IGP,unknown,,System Shared,10.1 (10_1),3.3,1.0,N/A,,4.1,System Shared,System Shared,System Shared,System Dependent,2.240 GPixel/s,2.240 GTexel/s,,44.80 GFLOPS,,40,End-of-life,"Mar 1st, 2010"
2130,NVIDIA GeForce 7050 SE + nForce 630a,,90 nm,112 million,81 mm²,Curie,IGP,unknown,,System Shared,9.0c (9_3),"2.0 (full)
					2.1 (partial)",N/A,N/A,,3.0,System Shared,System Shared,System Shared,System Dependent,425.0 MPixel/s,850.0 MTexel/s,,,,,End-of-life,"Feb 1st, 2006"
2131,ATI Radeon X800 GTO2,TSMC,130 nm,160 million,297 mm²,R400,Single-slot,unknown,,"490 MHz
										
					980 Mbps effective",9.0b (9_2),2.1,N/A,N/A,,,256 MB,GDDR3,256 bit,31.36 GB/s,6.400 GPixel/s,6.400 GTexel/s,,,,,End-of-life,"Sep 15th, 2005"
2132,AMD Radeon HD 8670M,TSMC,28 nm,950 million,77 mm²,GCN 1.0,,unknown,775 MHz,"900 MHz
										
					1800 Mbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),1024 MB,DDR3,64 bit,14.40 GB/s,6.600 GPixel/s,19.80 GTexel/s,,633.6 GFLOPS,,384,End-of-life,"Mar 1st, 2013"
2133,ATI Radeon Xpress 1250 Mobile IGP,,80 nm,120 million,73 mm²,R400,IGP,unknown,,System Shared,9.0b (9_2),2.0,N/A,N/A,,,System Shared,System Shared,System Shared,System Dependent,1.600 GPixel/s,1.600 GTexel/s,,,,,End-of-life,"Feb 28th, 2007"
2134,AMD Radeon Pro W5700X,TSMC,7 nm,"10,300 million",251 mm²,RDNA 1.0,Quad-slot,205 W,1243 MHz,"1750 MHz
										
					14 Gbps effective",12 (12_1),4.6,2.1,1.3,,6.7,16 GB,GDDR6,256 bit,448.0 GB/s,130.6 GPixel/s,326.4 GTexel/s,20.89 TFLOPS (2:1),10.44 TFLOPS,652.8 GFLOPS (1:16),2560,Active,"Dec 11th, 2019"
2135,AMD Radeon R1E Mobile Graphics,GlobalFoundries,28 nm,"1,200 million",125 mm²,GCN 3.0,IGP,15 W,300 MHz,System Shared,12 (12_0),4.6,2.1,1.2.170,,6.5,System Shared,System Shared,System Shared,System Dependent,2.400 GPixel/s,4.800 GTexel/s,76.80 GFLOPS (1:1),76.80 GFLOPS,4.800 GFLOPS (1:16),64,End-of-life,"Jun 1st, 2016"
2136,ATI All-In-Wonder Radeon 8500,TSMC,150 nm,60 million,120 mm²,Rage 7,Single-slot,unknown,,"275 MHz
										
					550 Mbps effective",8.1,1.3,N/A,N/A,,,128 MB,DDR,128 bit,8.800 GB/s,1.100 GPixel/s,2.200 GTexel/s,,,,,End-of-life,"Nov 14th, 2001"
2137,Intel Iris Pro Graphics P555,Intel,14 nm+,unknown,unknown,Generation 9.0,IGP,15 W,350 MHz,System Shared,12 (12_1),4.6,3.0,1.3,,6.4,System Shared,System Shared,System Shared,System Dependent,6.000 GPixel/s,48.00 GTexel/s,1.536 TFLOPS (2:1),768.0 GFLOPS,192.0 GFLOPS (1:4),384,Active,"Sep 1st, 2015"
2138,NVIDIA GV10B,TSMC,12 nm,"9,000 million",350 mm²,Volta,,,,,12 (12_1),4.6,1.2,1.2,7.2,6.0,,,,,,,,,,512,,Oct 2018
2139,Intel HD Graphics 520 Mobile,Intel,14 nm+,unknown,123 mm²,Generation 9.0,IGP,15 W,300 MHz,System Shared,12 (12_1),4.6,3.0,1.3,,6.4,System Shared,System Shared,System Shared,System Dependent,2.700 GPixel/s,21.60 GTexel/s,691.2 GFLOPS (2:1),345.6 GFLOPS,86.40 GFLOPS (1:4),192,Active,"Sep 1st, 2015"
2140,NVIDIA GeForce GT 530 OEM,TSMC,40 nm,585 million,116 mm²,Fermi,Single-slot,50 W,,"900 MHz
										
					1800 Mbps effective",12 (11_0),4.6,1.1,N/A,2.1,5.1,1024 MB,DDR3,128 bit,28.80 GB/s,2.800 GPixel/s,11.20 GTexel/s,,268.8 GFLOPS,22.40 GFLOPS (1:12),96,End-of-life,"May 14th, 2011"
2141,ATI M74,TSMC,65 nm,180 million,85 mm²,TeraScale,,,,,10.0 (10_0),3.3,N/A,N/A,,4.0,,,,,,,,,,40,,"May 14th, 2007"
2142,ATI Radeon HD 5750,TSMC,40 nm,"1,040 million",166 mm²,TeraScale 2,Dual-slot,86 W,,"1150 MHz
										
					4.6 Gbps effective",11.2 (11_0),4.4,1.2,N/A,,5.0,1024 MB,GDDR5,128 bit,73.60 GB/s,11.20 GPixel/s,25.20 GTexel/s,,"1,008 GFLOPS",,720,End-of-life,"Oct 13th, 2009"
2143,NVIDIA GeForce PCX 5750,TSMC,130 nm,82 million,125 mm²,Rankine,Single-slot,50 W,,"275 MHz
										
					550 Mbps effective",9.0a,"1.5 (full)
					2.0 (partial)",N/A,N/A,,,128 MB,DDR,128 bit,8.800 GB/s,1.700 GPixel/s,1.700 GTexel/s,,,,,End-of-life,"Feb 17th, 2004"
2144,ATI Radeon X550 XTX,TSMC,110 nm,120 million,156 mm²,R400,Single-slot,unknown,,"300 MHz
										
					600 Mbps effective",9.0b (9_2),2.0,N/A,N/A,,,128 MB,DDR,64 bit,4.800 GB/s,3.200 GPixel/s,3.200 GTexel/s,,,,,End-of-life,"Jan 24th, 2007"
2145,ATI Radeon X300 LE,TSMC,110 nm,107 million,74 mm²,R300,Single-slot,unknown,,"200 MHz
										
					400 Mbps effective",9.0,2.0,N/A,N/A,,,64 MB,DDR,128 bit,6.400 GB/s,1.300 GPixel/s,1.300 GTexel/s,,,,,End-of-life,"Sep 1st, 2004"
2146,ATI Radeon X800 SE,TSMC,130 nm,160 million,289 mm²,R400,Single-slot,unknown,,"350 MHz
										
					700 Mbps effective",9.0b (9_2),2.1,N/A,N/A,,,128 MB,DDR,256 bit,22.40 GB/s,3.400 GPixel/s,3.400 GTexel/s,,,,,End-of-life,"Oct 4th, 2004"
2147,AMD Radeon Pro 450,GlobalFoundries,14 nm,"3,000 million",123 mm²,GCN 4.0,MXM Module,35 W,,"1270 MHz
										
					5.1 Gbps effective",12 (12_0),4.6,2.1,1.3,,6.7,2 GB,GDDR5,128 bit,81.28 GB/s,12.80 GPixel/s,32.00 GTexel/s,"1,024 GFLOPS (1:1)","1,024 GFLOPS",64.00 GFLOPS (1:16),640,Active,"Oct 30th, 2016"
2148,AMD Radeon HD 7630M,TSMC,40 nm,716 million,118 mm²,TeraScale 2,,20 W,,"800 MHz
										
					1600 Mbps effective",11.2 (11_0),4.4,1.2,N/A,,5.0,1024 MB,DDR3,128 bit,25.60 GB/s,7.200 GPixel/s,10.80 GTexel/s,,432.0 GFLOPS,,480,End-of-life,"Jan 7th, 2012"
2149,ATI Radeon HD 4350 AGP,TSMC,55 nm,242 million,73 mm²,TeraScale,Single-slot,20 W,,"650 MHz
										
					1300 Mbps effective",10.1 (10_1),3.3,1.1,N/A,,4.1,512 MB,DDR3,64 bit,10.40 GB/s,2.400 GPixel/s,4.800 GTexel/s,,96.00 GFLOPS,,80,End-of-life,"Sep 30th, 2008"
2150,NVIDIA Jetson Orin NX 8 GB,Samsung,8 nm,unknown,unknown,Ampere,IGP,20 W,,"1600 MHz
										
					6.4 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,8.6,6.7,8 GB,LPDDR5,128 bit,102.4 GB/s,12.24 GPixel/s,24.48 GTexel/s,3.133 TFLOPS (2:1),1.567 TFLOPS,783.4 GFLOPS (1:2),1024,End-of-life,Mar 2023
2151,NVIDIA GeForce Go 7800 GTX,TSMC,110 nm,302 million,333 mm²,Curie,MXM Module,65 W,,"550 MHz
										
					1100 Mbps effective",9.0c (9_3),2.1,N/A,N/A,,3.0,512 MB,GDDR3,256 bit,35.20 GB/s,7.040 GPixel/s,10.56 GTexel/s,,,,,End-of-life,"Sep 29th, 2005"
2152,AMD Radeon Pro V320,GlobalFoundries,14 nm,"12,500 million",495 mm²,GCN 5.0,Dual-slot,230 W,852 MHz,"945 MHz
										
					1890 Mbps effective",12 (12_1),4.6,2.1,1.3,,6.7,8 GB,HBM2,2048 bit,483.8 GB/s,96.00 GPixel/s,384.0 GTexel/s,24.58 TFLOPS (2:1),12.29 TFLOPS,768.0 GFLOPS (1:16),4096,Active,"Jun 29th, 2017"
2153,NVIDIA Quadro NVS 440 PCIe x16,TSMC,110 nm,146 million,154 mm²,Curie,Single-slot,31 W,,"250 MHz
										
					500 Mbps effective",9.0c (9_3),"2.0 (full)
					2.1 (partial)",N/A,N/A,,3.0,128 MB,GDDR3,128 bit,8.000 GB/s,2.000 GPixel/s,2.000 GTexel/s,,,,,End-of-life,"Feb 14th, 2006"
2154,NVIDIA GF110,TSMC,40 nm,"3,000 million",520 mm²,Fermi 2.0,,,,,12 (11_0),4.6,1.1,N/A,2.0,5.1,,,,,,,,,,512,,"Nov 9th, 2010"
2155,NVIDIA GeForce GTX 950 Low Power,TSMC,28 nm,"2,940 million",228 mm²,Maxwell 2.0,Dual-slot,75 W,1026 MHz,"1653 MHz
										
					6.6 Gbps effective",12 (12_1),4.6,3.0,1.3,5.2,6.7,2 GB,GDDR5,128 bit,105.8 GB/s,38.08 GPixel/s,57.12 GTexel/s,,1.828 TFLOPS,57.12 GFLOPS (1:32),768,End-of-life,"Mar 1st, 2016"
2156,NVIDIA GA102,Samsung,8 nm,"28,300 million",628 mm²,Ampere,,,,,12 Ultimate (12_2),4.6,3.0,1.3,8.6,6.7,,,,,,,,,,10752,,"Sep 1st, 2020"
2157,AMD Radeon R9 Nano,TSMC,28 nm,"8,900 million",596 mm²,GCN 3.0,Dual-slot,175 W,,"500 MHz
										
					1000 Mbps effective",12 (12_0),4.6,2.1,1.2.170,,6.5,4 GB,HBM,4096 bit,512.0 GB/s,64.00 GPixel/s,256.0 GTexel/s,8.192 TFLOPS (1:1),8.192 TFLOPS,512.0 GFLOPS (1:16),4096,End-of-life,"Aug 27th, 2015"
2158,NVIDIA GeForce4 420 Go,TSMC,150 nm,29 million,65 mm²,Celsius,,unknown,,"200 MHz
										
					400 Mbps effective",7.0,1.5,N/A,N/A,,,32 MB,DDR,64 bit,3.200 GB/s,400.0 MPixel/s,800.0 MTexel/s,,,,,End-of-life,"Feb 6th, 2002"
2159,ATI Radeon 7000 Mac Edition,TSMC,180 nm,30 million,80 mm²,Rage 6,Single-slot,23 W,,"183 MHz
										
					366 Mbps effective",7.0,1.3,N/A,N/A,,,32 MB,DDR,64 bit,2.928 GB/s,183.0 MPixel/s,549.0 MTexel/s,,,,,End-of-life,"Mar 14th, 2004"
2160,NVIDIA Quadro2 MXR Low Profile,TSMC,180 nm,20 million,64 mm²,Celsius,Single-slot,unknown,,183 MHz,7.0,1.2,N/A,N/A,,,32 MB,SDR,128 bit,2.928 GB/s,800.0 MPixel/s,800.0 MTexel/s,,,,,End-of-life,"Jul 25th, 2000"
2161,NVIDIA GeForce FX Go5200 64M,TSMC,150 nm,45 million,91 mm²,Rankine,,unknown,,"250 MHz
										
					500 Mbps effective",9.0a,"1.5 (full)
					2.0 (partial)",N/A,N/A,,,64 MB,DDR,128 bit,8.000 GB/s,1.000 GPixel/s,1.000 GTexel/s,,,,,End-of-life,"Mar 1st, 2003"
2162,ATI Rage Mobility 128 AGP 4X,TSMC,250 nm,8 million,70 mm²,Rage 4,Single-slot,unknown,,"105 MHz
										
					210 Mbps effective",6.0,1.2,N/A,N/A,,,16 MB,DDR,64 bit,1.680 GB/s,210.0 MPixel/s,210.0 MTexel/s,,,,,End-of-life,"Oct 1st, 1999"
2163,ATI FirePro V7760,TSMC,55 nm,956 million,256 mm²,TeraScale,Single-slot,76 W,,"850 MHz
										
					1700 Mbps effective",10.1 (10_1),3.3,1.1,N/A,,4.1,1024 MB,GDDR3,128 bit,27.20 GB/s,6.000 GPixel/s,30.00 GTexel/s,,"1,200 GFLOPS",,800,End-of-life,2012
2164,AMD Blackcomb,TSMC,40 nm,"1,700 million",212 mm²,TeraScale 2,,,,,11.2 (11_0),4.4,1.2,N/A,,5.0,,,,,,,,,,1120,,"Jan 4th, 2011"
2165,NVIDIA GRID K200,TSMC,28 nm,"3,540 million",294 mm²,Kepler,IGP,225 W,,"1250 MHz
										
					5 Gbps effective",12 (11_0),4.6,3.0,1.2.175,3.0,6.5 (5.1),256 MB,GDDR5,256 bit,160.0 GB/s,23.84 GPixel/s,95.36 GTexel/s,,2.289 TFLOPS,95.36 GFLOPS (1:24),1536,End-of-life,"Jun 28th, 2013"
2166,Intel Iris Graphics 6100 Mobile,Intel,14 nm,unknown,133 mm²,Generation 8.0,IGP,15 W,300 MHz,System Shared,12 (11_1),4.4,3.0,1.0,,5.1,System Shared,System Shared,System Shared,System Dependent,6.000 GPixel/s,48.00 GTexel/s,,768.0 GFLOPS,192.0 GFLOPS (1:4),384,End-of-life,"Sep 5th, 2014"
2167,Intel i852GM Graphics,Intel,130 nm,unknown,unknown,Generation 2.0,IGP,unknown,200 MHz,System Shared,7.0,1.3,N/A,N/A,,,System Shared,System Shared,System Shared,System Dependent,266.0 MPixel/s,266.0 MTexel/s,,,,,End-of-life,"Dec 3rd, 2003"
2168,NVIDIA Quadro RTX 5000,TSMC,12 nm,"13,600 million",545 mm²,Turing,Dual-slot,230 W,1620 MHz,"1750 MHz
										
					14 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,7.5,6.7,16 GB,GDDR6,256 bit,448.0 GB/s,116.2 GPixel/s,348.5 GTexel/s,22.30 TFLOPS (2:1),11.15 TFLOPS,348.5 GFLOPS (1:32),3072,Active,"Aug 13th, 2018"
2169,AMD Navi 24,TSMC,6 nm,"5,400 million",107 mm²,RDNA 2.0,,,,,12 Ultimate (12_2),4.6,2.2,1.3,,6.7,,,,,,,,,,1024,,"Jan 4th, 2022"
2170,ATI R600,TSMC,80 nm,720 million,420 mm²,TeraScale,,,,,10.0 (10_0),"3.3 (full)
					4.0 (partial)",N/A,N/A,,4.0,,,,,,,,,,320,,"May 14th, 2007"
2171,NVIDIA GeForce 7800 GS+ AGP,TSMC,90 nm,278 million,196 mm²,Curie,Single-slot,75 W,,"600 MHz
										
					1200 Mbps effective",9.0c (9_3),2.1,N/A,N/A,,3.0,256 MB,GDDR3,256 bit,38.40 GB/s,3.000 GPixel/s,6.000 GTexel/s,,,,,End-of-life,"Sep 28th, 2006"
2172,Intel UHD Graphics 24EU Mobile,Intel,14 nm+++,unknown,unknown,Generation 9.5,IGP,15 W,300 MHz,System Shared,12 (12_1),4.6,3.0,1.3,,6.5,System Shared,System Shared,System Shared,System Dependent,3.000 GPixel/s,24.00 GTexel/s,768.0 GFLOPS (2:1),384.0 GFLOPS,96.00 GFLOPS (1:4),192,Active,"Aug 21st, 2019"
2173,NVIDIA GeForce GTX 570 Rev. 2,TSMC,40 nm,"3,000 million",520 mm²,Fermi 2.0,Dual-slot,219 W,,"950 MHz
										
					3.8 Gbps effective",12 (11_0),4.6,1.1,N/A,2.0,5.1,1280 MB,GDDR5,320 bit,152.0 GB/s,21.96 GPixel/s,43.92 GTexel/s,,"1,405 GFLOPS",175.7 GFLOPS (1:8),480,End-of-life,"Dec 7th, 2010"
2174,NVIDIA GeForce 840A,TSMC,28 nm,unknown,unknown,Maxwell,IGP,33 W,1029 MHz,"1001 MHz
										
					2 Gbps effective",12 (11_0),4.6,3.0,1.3,5.0,6.7 (5.1),2 GB,DDR3,64 bit,16.02 GB/s,8.992 GPixel/s,17.98 GTexel/s,,863.2 GFLOPS,26.98 GFLOPS (1:32),384,End-of-life,"Mar 17th, 2014"
2175,NVIDIA Quadro DCC,TSMC,150 nm,57 million,128 mm²,Kelvin,Single-slot,unknown,,230 MHz,8.1,1.5,N/A,N/A,,,64 MB,SDR,128 bit,3.680 GB/s,800.0 MPixel/s,800.0 MTexel/s,,,,,End-of-life,"May 14th, 2001"
2176,3dfx Voodoo2 12 MB,TSMC,350 nm,4 million,119 mm²,,Single-slot,15 W,,90 MHz,6.0,1.1,N/A,N/A,,,12 MB,EDO,192 bit,2.160 GB/s,90.00 MPixel/s,180.0 MTexel/s,,,,,End-of-life,"Feb 2nd, 1998"
2177,NVIDIA RTX A5000-8Q,Samsung,8 nm,"28,300 million",628 mm²,Ampere,Dual-slot,230 W,1170 MHz,"2000 MHz
										
					16 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,8.6,6.7,8 GB,GDDR6,384 bit,768.0 GB/s,162.7 GPixel/s,433.9 GTexel/s,27.77 TFLOPS (1:1),27.77 TFLOPS,867.8 GFLOPS (1:32),8192,Active,"Apr 12th, 2021"
2178,AMD Radeon R5 435 OEM,TSMC,28 nm,690 million,56 mm²,GCN 1.0,Single-slot,50 W,,"1125 MHz
										
					2.2 Gbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),2 GB,DDR3,64 bit,18.00 GB/s,8.240 GPixel/s,20.60 GTexel/s,,659.2 GFLOPS,41.20 GFLOPS (1:16),320,End-of-life,"Jun 30th, 2016"
2179,ATI Rage PRO Turbo PCI,UMC,350 nm,8 million,67 mm²,Rage 3,Single-slot,unknown,,75 MHz,6.0,1.1,N/A,N/A,,,8 MB,SDR,64 bit,600.0 MB/s,75.00 MPixel/s,75.00 MTexel/s,,,,,End-of-life,"Mar 1st, 1997"
2180,NVIDIA GP100,TSMC,16 nm,"15,300 million",610 mm²,Pascal,,,,,12 (12_1),4.6,3.0,1.3,6.0,6.0,,,,,,,,,,3840,,"Apr 5th, 2016"
2181,Matrox QID LP PCI,UMC,0 nm,unknown,unknown,MP,Single-slot,unknown,,"300 MHz
										
					600 Mbps effective",8.1,1.5,N/A,N/A,,,128 MB,DDR,64 bit,4.800 GB/s,500.0 MPixel/s,2.000 GTexel/s,,,,,End-of-life,"Dec 17th, 2004"
2182,AMD Radeon R7 260,TSMC,28 nm,"2,080 million",160 mm²,GCN 2.0,Dual-slot,95 W,,"1500 MHz
										
					6 Gbps effective",12 (12_0),4.6,2.1,1.2.170,,6.5,2 GB,GDDR5,128 bit,96.00 GB/s,16.00 GPixel/s,48.00 GTexel/s,,1.536 TFLOPS,96.00 GFLOPS (1:16),768,End-of-life,"Dec 17th, 2013"
2183,NVIDIA GeForce 830M,TSMC,28 nm,unknown,unknown,Maxwell,IGP,33 W,1082 MHz,"900 MHz
										
					1800 Mbps effective",12 (11_0),4.6,3.0,1.3,5.0,6.7 (5.1),2 GB,DDR3,64 bit,14.40 GB/s,9.200 GPixel/s,18.40 GTexel/s,,588.8 GFLOPS,18.40 GFLOPS (1:32),256,End-of-life,"Mar 12th, 2014"
2184,AMD FirePro S9100,TSMC,28 nm,"6,200 million",438 mm²,GCN 2.0,Dual-slot,225 W,,"1250 MHz
										
					5 Gbps effective",12 (12_0),4.6,2.1,1.2.170,,6.5,12 GB,GDDR5,512 bit,320.0 GB/s,52.74 GPixel/s,131.8 GTexel/s,,4.219 TFLOPS,2.109 TFLOPS (1:2),2560,End-of-life,"Oct 2nd, 2014"
2185,NVIDIA Quadro RTX 5000 X2 Mobile,TSMC,12 nm,"13,600 million",545 mm²,Turing,IGP,110 W,1035 MHz,"1750 MHz
										
					14 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,7.5,6.7,16 GB,GDDR6,256 bit,448.0 GB/s,97.92 GPixel/s,293.8 GTexel/s,18.80 TFLOPS (2:1),9.400 TFLOPS,293.8 GFLOPS (1:32),3072,Active,"Jun 8th, 2020"
2186,AMD FirePro W9100,TSMC,28 nm,"6,200 million",438 mm²,GCN 2.0,Dual-slot,275 W,,"1250 MHz
										
					5 Gbps effective",12 (12_0),4.6,2.1,1.2.170,,6.5,16 GB,GDDR5,512 bit,320.0 GB/s,59.52 GPixel/s,163.7 GTexel/s,,5.238 TFLOPS,2.619 TFLOPS (1:2),2816,End-of-life,"Mar 26th, 2014"
2187,AMD Vesuvius,TSMC,28 nm,"6,200 million",438 mm²,GCN 2.0,,,,,12 (12_0),4.6,2.1,1.2.170,,6.5,,,,,,,,,,2816,,"Apr 29th, 2014"
2188,NVIDIA GeForce 6800 XT,TSMC,110 nm,222 million,287 mm²,Curie,Single-slot,unknown,,"266 MHz
										
					532 Mbps effective",9.0c (9_3),"2.0 (full)
					2.1 (partial)",N/A,N/A,,3.0,256 MB,DDR,128 bit,8.512 GB/s,2.400 GPixel/s,2.400 GTexel/s,,,,,End-of-life,"Sep 30th, 2005"
2189,ATI Graphics Vantage,NEC,800 nm,unknown,90 mm²,Mach,Single-slot,unknown,,10 MHz,N/A,N/A,N/A,N/A,,,1 MB,DRAM,32 bit,40.00 MB/s,10.00 MPixel/s,0 MTexel/s,,,,,End-of-life,1992
2190,ATI M64,UMC,90 nm,105 million,100 mm²,Ultra-Threaded SE,,,,,9.0c (9_3),2.1,N/A,N/A,,3.0,,,,,,,,,,,,"Sep 18th, 2006"
2191,AMD Radeon R5 M330,TSMC,28 nm,690 million,56 mm²,GCN 1.0,IGP,18 W,955 MHz,"900 MHz
										
					1800 Mbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),2 GB,DDR3,64 bit,14.40 GB/s,8.240 GPixel/s,20.60 GTexel/s,,659.2 GFLOPS,41.20 GFLOPS (1:16),320,End-of-life,"May 5th, 2015"
2192,NVIDIA GeForce GT 555M 3 GB,TSMC,40 nm,"1,170 million",238 mm²,Fermi,IGP,35 W,,"900 MHz
										
					1800 Mbps effective",12 (11_0),4.6,1.1,N/A,2.1,5.1,3 GB,DDR3,192 bit,43.20 GB/s,3.540 GPixel/s,14.16 GTexel/s,,339.8 GFLOPS,28.32 GFLOPS (1:12),144,End-of-life,"Mar 24th, 2011"
2193,ATI Fire GL3,IBM,180 nm,unknown,156 mm²,IBM,Single-slot,unknown,,"125 MHz
										
					250 Mbps effective",6.0,1.2,N/A,N/A,,,128 MB,DDR,256 bit,8.000 GB/s,120.0 MPixel/s,480.0 MTexel/s,,,,,End-of-life,"Jun 1st, 2000"
2194,NVIDIA GeForce 8600 GS,TSMC,80 nm,289 million,169 mm²,Tesla,Single-slot,47 W,,"400 MHz
										
					800 Mbps effective",11.1 (10_0),3.3,1.1,N/A,1.1,4.0,512 MB,DDR2,128 bit,12.80 GB/s,4.320 GPixel/s,4.320 GTexel/s,,38.08 GFLOPS,,16,End-of-life,"Apr 17th, 2007"
2195,NVIDIA GeForce2 Go 100,TSMC,180 nm,20 million,64 mm²,Celsius,IGP,2 W,,"166 MHz
										
					332 Mbps effective",7.0,1.2,N/A,N/A,,,16 MB,DDR,32 bit,1.328 GB/s,250.0 MPixel/s,500.0 MTexel/s,,,,,End-of-life,"Feb 6th, 2001"
2196,AMD Radeon HD 7670 OEM,TSMC,40 nm,716 million,118 mm²,TeraScale 2,Single-slot,66 W,,"1000 MHz
										
					4 Gbps effective",11.2 (11_0),4.4,1.2,N/A,,5.0,512 MB,GDDR5,128 bit,64.00 GB/s,6.400 GPixel/s,19.20 GTexel/s,,768.0 GFLOPS,,480,End-of-life,"Jan 5th, 2012"
2197,NVIDIA GeForce GT 320M,TSMC,55 nm,314 million,121 mm²,Tesla,MXM Module,14 W,,"500 MHz
										
					1000 Mbps effective",11.1 (10_0),3.3,1.1,N/A,1.1,4.0,1024 MB,DDR2,128 bit,16.00 GB/s,4.000 GPixel/s,8.000 GTexel/s,,80.00 GFLOPS,,32,End-of-life,"Jun 15th, 2009"
2198,AMD Radeon HD 6450A,TSMC,40 nm,370 million,67 mm²,TeraScale 2,MXM Module,25 W,,"533 MHz
										
					1066 Mbps effective",11.2 (11_0),4.4,1.2,N/A,,5.0,512 MB,DDR3,64 bit,8.528 GB/s,2.500 GPixel/s,5.000 GTexel/s,,200.0 GFLOPS,,160,End-of-life,"Apr 7th, 2011"
